country_code,is_independent,status,landlocked,country,region
LBN,Yes,Developing,No,Lebanon,Asia
LSO,Yes,Developing,Yes,Lesotho,Africa
LBR,Yes,Developing,No,Liberia,Africa
LBY,Yes,Developing,No,Libya,Africa
LIE,Yes,Developed,No,Liechtenstein,Europe
LTU,Yes,Developed,No,Lithuania,Europe
LUX,Yes,Developed,No,Luxembourg,Europe
MDG,Yes,Developing,No,Madagascar,Africa
MWI,Yes,Developing,Yes,Malawi,Africa
MYS,Yes,Developing,No,Malaysia,Asia
MDV,Yes,Developing,No,Maldives,Asia
MLI,Yes,Developing,Yes,Mali,Africa
MLT,Yes,Developed,No,Malta,Europe
MHL,Yes,Developing,No,Marshall Islands,Oceania
MTQ,Part of FR,Developing,No,Martinique,Americas
MRT,Yes,Developing,No,Mauritania,Africa
MUS,Yes,Developing,No,Mauritius,Africa
MYT,Part of FR,Developing,No,Mayotte,Africa
MEX,Yes,Developing,No,Mexico,Americas
FSM,Yes,Developing,No,Micronesia (Federated States of),Oceania
MCO,Yes,Developed,No,Monaco,Europe
MNG,Yes,Developing,Yes,Mongolia,Asia
MNE,Yes,Developed,No,Montenegro,Europe
MSR,Territory of GB,Developing,No,Montserrat,Americas
MAR,Yes,Developing,No,Morocco,Africa
MOZ,Yes,Developing,No,Mozambique,Africa
MMR,Yes,Developing,No,Myanmar,Asia
NAM,Yes,Developing,No,Namibia,Africa
NRU,Yes,Developing,No,Nauru,Oceania
NPL,Yes,Developing,Yes,Nepal,Asia
NLD,Yes,Developed,No,Netherlands,Europe
NCL,Territory of FR,Developing,No,New Caledonia,Oceania
NZL,Yes,Developed,No,New Zealand,Oceania
NIC,Yes,Developing,No,Nicaragua,Americas
NER,Yes,Developing,Yes,Niger,Africa
NGA,Yes,Developing,No,Nigeria,Africa
NIU,Associated with NZ,Developing,No,Niue,Oceania
NFK,Territory of AU,Developed,No,Norfolk Island,Oceania
MNP,Commonwealth of US,Developing,No,Northern Mariana Islands,Oceania
NOR,Yes,Developed,No,Norway,Europe
OMN,Yes,Developing,No,Oman,Asia
PAK,Yes,Developing,No,Pakistan,Asia
PLW,Yes,Developing,No,Palau,Oceania
PAN,Yes,Developing,No,Panama,Americas
PNG,Yes,Developing,No,Papua New Guinea,Oceania
PRY,Yes,Developing,Yes,Paraguay,Americas
PER,Yes,Developing,No,Peru,Americas
PHL,Yes,Developing,No,Philippines,Asia
PCN,Territory of GB,Developing,No,Pitcairn,Oceania
POL,Yes,Developed,No,Poland,Europe
PRT,Yes,Developed,No,Portugal,Europe
PRI,Commonwealth of US,Developing,No,Puerto Rico,Americas
QAT,Yes,Developing,No,Qatar,Asia
KOR,Yes,Developing,No,South Korea,Asia
MDA,Yes,Developed,Yes,Republic of Moldova,Europe
ROU,Yes,Developed,No,Romania,Europe
RUS,Yes,Developed,No,Russian Federation,Europe
RWA,Yes,Developing,Yes,Rwanda,Africa
REU,Part of FR,Developing,No,Reunion,Africa
BLM,Part of FR,Developing,No,Saint Barthelemy,Americas
SHN,Territory of GB,Developing,No,Saint Helena,Africa
KNA,Yes,Developing,No,Saint Kitts and Nevis,Americas
LCA,Yes,Developing,No,Saint Lucia,Americas
MAF,Part of FR,Developing,No,Saint Martin,Americas
SPM,Part of FR,Developed,No,Saint Pierre and Miquelon,Americas
VCT,Yes,Developing,No,Saint Vincent and the Grenadines,Americas
WSM,Yes,Developing,No,Samoa,Oceania
SMR,Yes,Developed,No,San Marino,Europe
STP,Yes,Developing,No,Sao Tome and Principe,Africa
SAU,Yes,Developing,No,Saudi Arabia,Asia
SEN,Yes,Developing,No,Senegal,Africa
SRB,Yes,Developed,No,Serbia,Europe
SYC,Yes,Developing,No,Seychelles,Africa
SLE,Yes,Developing,No,Sierra Leone,Africa
SGP,Yes,Developing,No,Singapore,Asia
SXM,Part of NL,Developing,No,Sint Maarten (Dutch part),Americas
SVK,Yes,Developed,No,Slovakia,Europe
SVN,Yes,Developed,No,Slovenia,Europe
SLB,Yes,Developing,No,Solomon Islands,Oceania
SOM,Yes,Developing,No,Somalia,Africa
ZAF,Yes,Developing,No,South Africa,Africa
SGS,Territory of GB,Developing,No,South Georgia and the South Sandwich Islands,Americas
SSD,Yes,Developing,Yes,South Sudan,Africa
ESP,Yes,Developed,No,Spain,Europe
LKA,Yes,Developing,No,Sri Lanka,Asia
PSE,In contention,Developing,No,Palestinian Territory, Occupied
SDN,Yes,Developing,No,Sudan,Africa
SUR,Yes,Developing,No,Suriname,Americas
SJM,Territory of NO,Developed,No,Svalbard and Jan Mayen Islands,Europe
SWE,Yes,Developed,No,Sweden,Europe
CHE,Yes,Developed,No,Switzerland,Europe
SYR,Yes,Developing,No,Syria,Asia
TJK,Yes,Developing,Yes,Tajikistan,Asia
THA,Yes,Developing,No,Thailand,Asia
MKD,Yes,Developed,Yes,North Macedonia,Europe
TLS,Yes,Developing,No,Timor-Leste,Asia
TGO,Yes,Developing,No,Togo,Africa
TKL,Territory of NZ,Developing,No,Tokelau,Oceania
TON,Yes,Developing,No,Tonga,Oceania
TTO,Yes,Developing,No,Trinidad and Tobago,Americas
TUN,Yes,Developing,No,Tunisia,Africa
TUR,Yes,Developing,No,Turkey,Asia
TKM,Yes,Developing,Yes,Turkmenistan,Asia
TCA,Territory of GB,Developing,No,Turks and Caicos Islands,Americas
TUV,Yes,Developing,No,Tuvalu,Oceania
UGA,Yes,Developing,Yes,Uganda,Africa
UKR,Yes,Developed,No,Ukraine,Europe
ARE,Yes,Developing,No,United Arab Emirates,Asia
GBR,Yes,Developed,No,United Kingdom,Europe
TZA,Yes,Developing,No,Tanzania,Africa
UMI,Territories of US,Developing,No,United States Minor Outlying Islands,Oceania
VIR,Territory of US,Developing,No,United States Virgin Islands,Americas
USA,Yes,Developed,No,United States of America,Americas
URY,Yes,Developing,No,Uruguay,Americas
UZB,Yes,Developing,Yes,Uzbekistan,Asia
VUT,Yes,Developing,No,Vanuatu,Oceania
VEN,Yes,Developing,No,Venezuela,Americas
VNM,Yes,Developing,No,Vietnam,Asia
WLF,Territory of FR,Developing,No,Wallis and Futuna Islands,Oceania
ESH,In contention,Developing,No,Western Sahara,Africa
YEM,Yes,Developing,No,Yemen,Asia
ZMB,Yes,Developing,Yes,Zambia,Africa
ZWE,Yes,Developing,Yes,Zimbabwe,Africa
ALA,Part of FI,Developed,No,Aland Islands,Europe
Others,International,Others,No,Diamond Cruise Ship,Others
Others,International,Others,No,MS Zaandam,Others
